id,ten,category,t1,t2,t3,tags,element,compatibleItemTypes,weight
bell-push-wave,Chuông Sóng Đẩy,implicit,Sóng đẩy linh khí khác trong 50px khi bị va chạm,Sóng đẩy linh khí khác trong 80px khi bị va chạm,Sóng đẩy linh khí khác trong 100px + +5% intensity khi bị va chạm,utility|aoe,,bell,100
bell-echo,Chuông Âm Vang,implicit,Mỗi 5 va chạm: tạo xung âm thanh gây 8% intensity AOE trong 60px,Mỗi 5 va chạm: tạo xung âm thanh gây 12% intensity AOE trong 80px,Mỗi 4 va chạm: tạo xung âm thanh gây 18% intensity AOE trong 100px,aoe|chain,,bell,60
bell-convert,Chuông Chuyển Hoá,implicit,Linh lực qua Chuông có 40% chance đổi nguyên tố sang Kim,Linh lực qua Chuông có 65% chance đổi nguyên tố sang Kim,Linh lực qua Chuông 100% đổi nguyên tố sang Kim,elemental|utility,metal,bell,60
lantern-convert,Đèn Chuyển Hoá,implicit,Chuyển hoá 60% linh lực qua đây sang Hoả,Chuyển hoá 80% linh lực qua đây sang Hoả,Chuyển hoá 100% linh lực qua đây sang Hoả + AOE ánh sáng 50px,elemental|utility,fire,lantern,100
lantern-element-cycle,Đèn Nguyên Tố Chuyển,implicit,Mỗi 3 va chạm: đổi nguyên tố phát sáng theo vòng Ngũ Hành,Mỗi 2 va chạm: đổi nguyên tố phát sáng theo vòng Ngũ Hành,Mỗi va chạm: đổi nguyên tố phát sáng; linh lực được +15% intensity khi cùng nguyên tố Đèn,elemental|chain,,lantern,60
lantern-deflect,Đèn Rơi Lệch,implicit,Linh lực rơi qua Đèn bị lệch góc +15° ngẫu nhiên,Linh lực rơi qua Đèn bị lệch góc +25° ngẫu nhiên; +10% intensity,Linh lực rơi qua Đèn bị lệch góc ±35° (player chọn); +20% intensity,utility|speed,,lantern,60
statue-four-spirit-aura,Tượng Tứ Linh Hào Quang,implicit,+10% intensity cho linh khí cùng nguyên tố trong bán kính 100px,+20% intensity cho linh khí cùng nguyên tố trong bán kính 100px,+30% intensity cho linh khí cùng nguyên tố trong bán kính 100px,elemental|offensive,,statue,100
statue-beast-guard,Tượng Thần Thú Bảo Vệ,implicit,Giảm 20% tương khắc damage trong bán kính 150px,Giảm 30% tương khắc damage trong bán kính 150px,Giảm 40% tương khắc damage trong bán kính 200px,defensive,,statue,100
statue-stabilize,Tượng Ổn Định,implicit,Linh đan stability tăng tối đa +10% khi Tượng còn nguyên,Linh đan stability tăng tối đa +15% khi Tượng còn nguyên,Linh đan stability tăng tối đa +25% khi Tượng còn nguyên,defensive|sustain,,statue,60
talisman-once,Bùa Một Lần,implicit,1x/ván: kích hoạt hiệu ứng Bùa trong bán kính 80px,1x/ván: kích hoạt hiệu ứng Bùa trong bán kính 120px,2x/ván: kích hoạt hiệu ứng Bùa trong bán kính 150px,utility,,talisman,100
talisman-expand,Bùa Mở Rộng,implicit,Tầm kích hoạt Bùa +30px,Tầm kích hoạt Bùa +50px,Tầm kích hoạt Bùa +80px; hiệu ứng kéo dài thêm 1s,utility,,talisman,60
talisman-charge,Bùa Tích Luỹ,implicit,Mỗi lần linh lực chạm Bùa tích 1 charge; 5 charge → kích hoạt hiệu ứng,Mỗi lần linh lực chạm Bùa tích 1 charge; 4 charge → kích hoạt hiệu ứng,Mỗi lần linh lực chạm Bùa tích 1 charge; 3 charge → kích hoạt hiệu ứng mạnh hơn 50%,chain|utility,,talisman,60
bead-absorb,Châu Hấp Thu,implicit,Hấp thụ linh lực 1 lần; lưu trữ; sau 3 hit phun ra với +30% intensity,Hấp thụ linh lực 1 lần; lưu trữ; sau 2 hit phun ra với +45% intensity,Hấp thụ linh lực bất kỳ; sau 2 hit phun ra với +60% intensity + cùng nguyên tố,offensive|utility,,bead,100
bead-chain,Châu Dây Chuyền,implicit,Linh lực qua Châu nhảy tới linh khí gần nhất trong 100px,Linh lực qua Châu nhảy tới linh khí gần nhất trong 150px + +10% intensity mỗi nhảy,Linh lực qua Châu nhảy tới linh khí gần nhất trong 200px + +15% intensity mỗi nhảy,chain,,bead,100
bead-energy-burst,Châu Xung Năng,implicit,Mỗi 5 va chạm: phát xung năng lực AOE Châu nguyên tố 60px,Mỗi 4 va chạm: phát xung năng lực AOE Châu nguyên tố 80px,Mỗi 3 va chạm: phát xung năng lực AOE Châu nguyên tố 100px + +20% intensity,aoe|offensive,,bead,60
sword-split,Kiếm Phân Đôi,implicit,Cắt linh lực thành 2 đường; mỗi đường -20% intensity; góc ±20°,Cắt linh lực thành 2 đường; mỗi đường -15% intensity; góc ±30°,Cắt linh lực thành 2 đường; mỗi đường -10% intensity; góc ±35°; crit chance +10%,offensive|crit,,sword,100
sword-pierce,Kiếm Xuyên Phá,implicit,Linh lực Kim qua Kiếm bỏ qua 1 va chạm tường kế tiếp,Linh lực Kim qua Kiếm bỏ qua 1 va chạm tường + +15% intensity,Linh lực bất kỳ qua Kiếm bỏ qua 1 va chạm tường + +20% intensity; pierce next linh khí gây 50% sát thương phụ,offensive|chain,metal,sword,60
saber-lightning,Đao Chớp Giật,implicit,Va chạm Đao: 10% chance Kim sét đánh ngẫu nhiên 1 linh khí trong 150px,Va chạm Đao: 15% chance Kim sét đánh ngẫu nhiên 1 linh khí trong 200px,Va chạm Đao: 20% chance Kim sét đánh 2 linh khí ngẫu nhiên trong 200px,offensive|crit,metal,saber,100
saber-accelerate,Đao Tăng Tốc,implicit,Linh lực rời Đao nhanh hơn 20%,Linh lực rời Đao nhanh hơn 35% + +10% intensity,Linh lực rời Đao nhanh hơn 50% + +15% intensity; 10% chance nhân đôi linh lực,speed|offensive,,saber,60
inkstone-wound-trail,Nghiên Mực Vết Thương,implicit,Va chạm để lại vệt mực 2s; linh lực rơi vào vệt +15% intensity,Va chạm để lại vệt mực 3s; linh lực rơi vào vệt +22% intensity,Va chạm để lại vệt mực 4s; linh lực rơi vào vệt +30% intensity; vệt gây chain damage,chain|offensive,,inkstone,100
inkstone-mark,Nghiên Mực Ghi Dấu,implicit,Mỗi 3 va chạm: ghi dấu Kim trên board; chain damage 2s sau,Mỗi 2 va chạm: ghi dấu nguyên tố linh khí; chain damage 3s sau,Mỗi va chạm: ghi dấu nguyên tố; chain damage 3s + linh lực tiếp theo cùng nguyên tố +25% intensity,chain|elemental,,inkstone,60
cauldron-slow-burst,Đỉnh Nổ Chậm,implicit,Linh lực vào Đỉnh dừng 1.5s rồi tiếp tục với +30% intensity,Linh lực vào Đỉnh dừng 1s rồi tiếp tục với +40% intensity,Linh lực vào Đỉnh dừng 0.8s rồi tiếp tục với +55% intensity,offensive|utility,,cauldron,100
cauldron-element-slow,Đỉnh Phân Nguyên Tố,implicit,Chậm linh lực ngược nguyên tố 35% trong 1.5s,Chậm linh lực ngược nguyên tố 50% trong 2s,Chậm linh lực ngược nguyên tố 60% trong 2s + +20% intensity khi rời,utility|defensive,,cauldron,60
box-store-energy,Hộp Trữ Năng,implicit,Trữ linh lực 2s; phun ra với +50% intensity,Trữ linh lực 1.5s; phun ra với +65% intensity,Trữ linh lực 1s; phun ra với +80% intensity; 15% chance nhân đôi khi phun,offensive|utility,,box,100
fan-redirect,Quạt Đổi Hướng,implicit,Đổi hướng linh lực Kim ±30° (player chọn trái/phải),Đổi hướng linh lực bất kỳ ±30° (player chọn); +10% intensity,Đổi hướng linh lực bất kỳ ±45° (player chọn); +15% intensity; tạo gió phụ 40px,utility|speed,,fan,100
branch-recovery,Cành Hồi Phục,implicit,Linh lực Mộc qua Cành heal stability linh đan +1.5%,Linh lực Mộc qua Cành heal stability linh đan +2.5%,Linh lực Mộc qua Cành heal stability linh đan +3.5%; linh lực Thuỷ heal thêm +2%,sustain|elemental,wood,branch,100
flower-slow,Hoa Chậm Tốc,implicit,Linh lực qua Hoa chậm 20%; +15% intensity khi rời Hoa,Linh lực qua Hoa chậm 30%; +22% intensity khi rời Hoa,Linh lực qua Hoa chậm 40%; +30% intensity khi rời Hoa; tạo hào quang Mộc 50px,utility|sustain,wood,flower,100
