id,ten,type,element,rarity,implicit,dropPool,tags
bronze-bell,Chuông Đồng,bell,metal,Common,Convert linh lực qua đây → Kim. Tạo sóng đẩy linh khí khác 80px,Common,metal|convert|push
white-tiger-sword,Kiếm Cổ Bạch Hổ,sword,metal,Magic,Cut linh lực thành 2 — split path angles ±30°,Uncommon,metal|split
metal-essence-inkstone,Nghiên Mực Kim Tinh,inkstone,metal,Common,"Linh lực Kim → ghi vết Kim trên board, chain damage 3s",Common,metal|chain
white-tiger-bead,Châu Bạch Hổ,bead,metal,Magic,"Hấp thụ linh lực Kim, sau 3 hit phun ra Kim châm piercing",Uncommon,metal|charge|pierce
ancient-keen-saber,Đao Cổ Sắc,saber,metal,Common,Crit chance +20% trên Kim linh lực,Common,metal|crit
white-tiger-statue,Tượng Bạch Hổ,statue,metal,Magic,Linh khí Kim khác ±100px được +15% intensity,Uncommon,metal|aura
metal-rune-talisman,Phù Kim Tự,talisman,metal,Rare,1x/ván: tất cả linh lực biến thành Kim,Rare,metal|convert|oneshot
platinum-cauldron,Đỉnh Bạch Kim,cauldron,metal,Magic,Chậm linh lực Mộc 50% (counter-element control),Uncommon,metal|counter|slow
ancient-metal-box,Hộp Cổ Kim Khí,box,metal,Common,"Store linh lực 2s, release với +50% intensity",Common,metal|store|charge
silver-star-fan,Quạt Bạch Tinh,fan,metal,Common,Đổi hướng linh lực Kim sang trái/phải (player chọn),Common,metal|redirect
bodhi-branch,Cành Bồ Đề,branch,wood,Common,Sustain — linh lực Mộc qua đây heal đan +2% stability,Common,wood|sustain|heal
lotus-leaf-lantern,Đèn Lá Sen,lantern,wood,Common,Mỗi va chạm: spawn small lá mộc linh lực phụ,Common,wood|spawn
longevity-talisman,Bùa Trường Sinh,talisman,wood,Magic,Linh khí lân cận không bị nhiễm khí,Uncommon,wood|sustain|aura
azure-dragon-statue,Tượng Thanh Long,statue,wood,Magic,Linh khí Mộc khác ±100px được +20% intensity,Uncommon,wood|aura
azure-dragon-bead,Châu Thanh Long,bead,wood,Magic,"Tích luỹ Mộc lực, mỗi 5 hit: heal đan stability +10%",Uncommon,wood|sustain|charge
spirit-lotus-flower,Hoa Sen Linh,flower,wood,Common,"Slow linh lực 25%, +20% intensity khi rời",Common,wood|slow|charge
green-nectar-vase,Bình Cam Lộ Xanh,vase,wood,Magic,Convert linh lực Hoả qua đây → Mộc (tương khắc rescue),Uncommon,wood|convert|counter
ancient-betel-branch,Cây Trầu Cổ,branch,wood,Common,Linh khí xung quanh được Mộc nhiễm khí 5s,Common,wood|aura|infect
jade-cauldron,Đỉnh Lục Bảo,cauldron,wood,Magic,Linh đan Mộc nhận +15% quality từ đồng hành hit,Uncommon,wood|sustain|quality
ancient-bamboo-fan,Quạt Trúc Cổ,fan,wood,Common,Phất tạo gió đẩy linh lực xuống board nhanh hơn,Common,wood|push|speed
dark-nectar-vase,Bình Cam Lộ Đen,vase,water,Magic,"Hấp thụ linh lực Hoả, phun lại Thuỷ",Uncommon,water|convert|counter
water-dragon-bead,Châu Thuỷ Long,bead,water,Magic,Chain — linh lực qua đây jump tới linh khí gần nhất,Uncommon,water|chain
ice-lantern,Đèn Băng,lantern,water,Common,Linh lực Thuỷ qua → freeze nearby linh khí 1s (counter-element),Common,water|counter|slow
black-tortoise-statue,Tượng Hắc Quy,statue,water,Magic,Defensive — giảm 30% tương khắc damage trong 200px,Uncommon,water|counter|aura
sea-dragon-talisman,Bùa Hải Long,talisman,water,Rare,1x/ván: tất cả linh lực biến thành Thuỷ,Rare,water|convert|oneshot
frost-ice-inkstone,Nghiên Mực Hàn Băng,inkstone,water,Common,"Mỗi va chạm: tạo vũng nước, linh lực rơi vào +20% intensity",Common,water|trail|charge
flowing-ice-sword,Kiếm Lưu Băng,sword,water,Common,Pierce — linh lực Thuỷ ignore 1 wall collision,Common,water|pierce
black-jade-cauldron,Đỉnh Hắc Bích,cauldron,water,Magic,Heal đan +1% stability per Thuỷ tương sinh hit,Uncommon,water|sustain|heal
frost-qi-box,Hộp Hàn Khí,box,water,Magic,"Store linh lực Thuỷ, release với chain +3 jumps",Uncommon,water|store|chain
black-phoenix-fan,Quạt Hắc Phụng,fan,water,Common,Slow toàn board 20% trong 3s khi chạm,Common,water|slow|aoe
red-lantern,Đèn Lồng Đỏ,lantern,fire,Common,Chuyển hoá tất cả linh lực qua đây → Hoả,Common,fire|convert
phoenix-spirit-talisman,Bùa Phượng Linh,talisman,fire,Magic,Hoả lực hit → ignite linh khí khác (chain burn 5s),Uncommon,fire|chain|aoe
vermilion-bird-statue,Tượng Chu Tước,statue,fire,Magic,Linh khí Hoả khác ±100px được +25% intensity,Uncommon,fire|aura
fire-phoenix-bead,Châu Hoả Phượng,bead,fire,Magic,Mỗi 5 hit: explode AOE Hoả damage,Uncommon,fire|aoe|charge
