id,ten,type,element,category,effect,buildHook,dropWeight,dropRateHint
sun-wukong-staff,Trượng Tôn Ngộ Không,sword,void,build-defining,Linh lực nhân thành 3 sau hit đầu tiên,Sát Thủ multiplier,100,"atlas drop, rare"
bagua-mirror,Gương Bát Quái,statue,void,build-defining,Linh lực rơi ngược lên trời 1x/ván,Pháp Sư reset,30,"atlas drop, very rare"
lantern-spirit-path,Linh Đường Đèn Lồng,lantern,void,build-defining,"Tắt sáng board, linh khí chỉ thấy 100px",High-risk build,100,"atlas drop, rare"
thousand-mile-scythe,Lưỡi Hái Thiên Lý,saber,void,build-defining,"Linh lực rớt khỏi board → 1 linh khí hi sinh, intensity ×10",Vong Linh sacrifice,30,"atlas drop, very rare"
landscape-map,Bản Đồ Sơn Hà,charm,void,build-defining,"Board +50% size, +5 slot, tâm ma buff theo",Mass linh khí build,30,"atlas keystone, very rare"
cosmos-furnace,Đan Lư Càn Khôn,cauldron,void,build-defining,Mỗi ván sống sót: +1 affix tier permanent cho 1 linh khí,Long-run accumulator,100,"atlas drop, rare"
black-white-mask,Mặt Nạ Hắc Bạch,statue,void,build-defining,Player chọn nguyên tố linh đan giữa run,Element switcher,100,"atlas drop, rare"
dew-inkstone,Nghiên Mực Sương,inkstone,void,build-defining,Linh lực để lại vệt mực → damage zone 3s,Pháp Sư AoE,100,"atlas drop, rare"
ziwei-talisman,Bùa Tử Vi,talisman,void,build-defining,See next 3 đan dược drops,Tử Vi RNG control,100,"atlas drop, uncommon"
wind-thunder-fan,Quạt Phong Lôi,fan,void,build-defining,1x/ván: tất cả linh lực đổi hướng 90°,Tactical reset,30,"atlas drop, very rare"
amitabha-statue,Tượng Phật A Di Đà,statue,void,sustain-defensive,Linh đan +5 quality mỗi ván win (sustain),Hộ Pháp,100,"atlas drop, uncommon"
great-bell,Chuông Đại Hồng,bell,metal,sustain-defensive,"Mỗi 7s, tất cả linh khí trigger free",Pháp Sư engine,100,"atlas drop, rare"
nine-grade-kasaya,Áo Cà Sa Cửu Phẩm,talisman,void,sustain-defensive,Lò +1 slot tạm trong pháp trận,Build expander,100,"atlas drop, rare"
heaven-decree-furnace,Đan Lò Thiên Lệnh,cauldron,void,sustain-defensive,Phong Ấn brick chance -5% (stack được),Crafting safety,100,"atlas drop, uncommon"
pure-heart-bead,Tịnh Tâm Linh Châu,bead,void,sustain-defensive,Dispel tâm ma debuff 1x/ván,Anti-Tâm-Ma,30,"atlas drop, rare"
ancient-thunder-charm,Lôi Phù Cổ,charm,metal,sustain-defensive,"Hứng được thiên kiếp, convert +50% intensity",Thiên kiếp build,100,"atlas drop, rare"
jade-spirit-flower,Linh Hoa Bích Bảo,flower,wood,sustain-defensive,Linh đan stability cap +30%,Tank build,100,"atlas drop, uncommon"
mystic-heaven-bell,Huyền Thiên Cổ Chung,bell,metal,sustain-defensive,Mỗi va chạm: sóng âm; 5 sóng cộng dồn = boom AOE,AOE detonate,100,"atlas drop, rare"
ancestral-necklace,Vòng Cổ Tổ Phụ,talisman,void,sustain-defensive,Cấp Đạo Sĩ +5 trong pháp trận này,Power spike,100,"atlas drop, rare"
galaxy-lantern,Đèn Tinh Thiên Hà,lantern,void,sustain-defensive,See next 5 linh lực drops + element,RNG predict,100,"atlas drop, uncommon"
doomed-short-life-charm,Mạt Niên Đoản Mệnh,talisman,void,chaos-risk,"Linh đan progress +100%, nhưng stability max -50%",All-in glass cannon,60,"atlas drop, rare"
primordial-jade-bead,Hỗn Nguyên Ngọc Châu,bead,void,chaos-risk,All linh khí elements random mỗi ván,Vô Cực chaos,60,"atlas drop, rare"
white-bone-decree,Bạch Cốt Lệnh,charm,void,chaos-risk,Linh khí hi sinh có 30% revive cùng affix,Vong Linh resurrection,60,"atlas drop, rare"
death-soul-box,Tử Hồn Linh Bao,box,void,chaos-risk,Linh khí brick recover 50% essence currency,Crafting refund,60,"atlas drop, uncommon"
nine-abyss-black-elixir,Cửu U Hắc Đan,box,water,chaos-risk,Damage ×3 nhưng Lò Thọ -10%/ván,Hardcore intensity,60,"atlas drop, rare"
black-white-impermanence-charm,Bùa Hắc Bạch Vô Thường,talisman,void,chaos-risk,Random buff/debuff mỗi 5s (50/50),RNG gambler,60,"atlas drop, uncommon"
ancient-dragon-soul-jade,Cổ Long Hồn Ngọc,bead,void,chaos-risk,Linh lực có hồn — track linh đan như homing missile,Accuracy build,60,"atlas drop, rare"
phoenix-tail-cauldron,Đỉnh Phượng Linh Vĩ,cauldron,fire,chaos-risk,"Boss damage ×5, normal mob damage ÷2",Boss specialist,60,"atlas drop, rare"
corruption-mask,Tâm Ma Mặt Nạ,statue,void,chaos-risk,"Player chịu debuff Tâm Ma, nhưng +200% loot",Risk reward,60,"atlas drop, rare"
primordial-black-elixir,Hỗn Nguyên Hắc Đan,box,void,chaos-risk,"Đan promote 1 cấp instant per pháp trận, nhưng stability -75%",Speed runner,60,"atlas drop, rare"
