id,ten,category,effect,dropPool,weight,element
spirit-elixir,Linh Đan,main,Reroll 1 affix ngẫu nhiên trên linh khí Linh+,Common,100,
purple-cycle-elixir,Tử Hoàn Đan,main,Reroll toàn bộ affix trên linh khí Bảo+,Uncommon,50,
nine-turn-elixir,Cửu Chuyển Đan,main,Nâng 1 phẩm cấp linh khí — 50% thất bại thì hoàn nguyên phẩm cũ,Rare,20,
seal,Phong Ấn,main,25% Phá Niêm (strip affix) / 25% Giáng Phẩm / 25% Thăng Phẩm / 25% Khắc thêm 1 implicit cực mạnh — item không craft thêm,Uncommon,50,
soul-elixir,Hồn Đan,main,Sao chép 1 affix từ linh khí này sang linh khí khác cùng loại,VeryRare,5,
ancient-elixir,Cổ Đan,main,Reroll 1 Cổ Vật thành Cổ Vật ngẫu nhiên khác,ExtremelyRare,1,
identify-elixir,Đan Tẩy Niêm,main,Giám định (identify) 1 linh khí chưa nhận diện,Common,100,
affix-wash-elixir,Đan Tẩy Affix,main,Loại bỏ 1 affix ngẫu nhiên khỏi linh khí Linh+,Uncommon,50,
metal-essence,Tinh Hoa Kim,essence,Bắt buộc thêm prefix +X% intensity Kim lực vào linh khí — reroll các affix còn lại,Uncommon,50,metal
wood-essence,Tinh Hoa Mộc,essence,Bắt buộc thêm prefix +X% sustain Mộc vào linh khí — reroll các affix còn lại,Uncommon,50,wood
water-essence,Tinh Hoa Thuỷ,essence,Bắt buộc thêm prefix +X% chain Thuỷ vào linh khí — reroll các affix còn lại,Uncommon,50,water
fire-essence,Tinh Hoa Hoả,essence,Bắt buộc thêm prefix +X% burst Hoả vào linh khí — reroll các affix còn lại,Uncommon,50,fire
earth-essence,Tinh Hoa Thổ,essence,Bắt buộc thêm prefix +X% phòng thủ Thổ vào linh khí — reroll các affix còn lại,Uncommon,50,earth
speed-essence,Tinh Hoa Tốc,essence,Bắt buộc thêm suffix +X% tốc độ linh lực vào linh khí — reroll các affix còn lại,Uncommon,50,
durability-essence,Tinh Hoa Kiên,essence,Bắt buộc thêm suffix độ bền linh khí (durability) vào linh khí — reroll các affix còn lại,Uncommon,50,
stability-essence,Tinh Hoa Mệnh,essence,Bắt buộc thêm suffix ổn định linh đan (stability) vào linh khí — reroll các affix còn lại,Uncommon,50,
counter-essence,Tinh Hoa Khắc,essence,Bắt buộc thêm suffix kháng tương khắc vào linh khí — reroll các affix còn lại,Uncommon,50,
generation-essence,Tinh Hoa Sinh,essence,Bắt buộc thêm suffix tăng tương sinh vào linh khí — reroll các affix còn lại,Uncommon,50,
crit-essence,Tinh Hoa Crit,essence,Bắt buộc thêm suffix tỉ lệ chí mạng vào linh khí — reroll các affix còn lại,Uncommon,50,
chain-essence,Tinh Hoa Linh,essence,Bắt buộc thêm suffix kích hoạt chuỗi (chain trigger) vào linh khí — reroll các affix còn lại,Uncommon,50,
