id,ten,category,t1,t2,t3,tags,element,compatibleItemTypes,weight
frenzy,Cuồng Bạo,prefix,+25% intensity Kim lực khi va chạm,+35% intensity Kim lực khi va chạm,+45% intensity Kim lực khi va chạm,offensive|elemental,metal,,100
raging-fire,Liệt Hoả,prefix,+22% intensity Hoả lực khi va chạm,+30% intensity Hoả lực khi va chạm,+40% intensity Hoả lực khi va chạm,offensive|elemental,fire,,100
ferocious,Hung Hãn,prefix,+15% crit chance khi va chạm,+22% crit chance khi va chạm,+30% crit chance khi va chạm,offensive|crit,,,100
triple-birth,Tam Sinh,prefix,12% chance nhân đôi linh lực khi va chạm,16% chance nhân đôi linh lực khi va chạm,20% chance nhân đôi linh lực khi va chạm,offensive,,,100
annihilation,Huỷ Diệt,prefix,+30% intensity chống Tâm Ma,+40% intensity chống Tâm Ma,+50% intensity chống Tâm Ma,offensive|anti-corruption,,,60
nemesis,Khắc Tinh,prefix,+22% damage tương khắc lực,+30% damage tương khắc lực,+40% damage tương khắc lực,offensive|elemental,,,100
thunderclap,Sấm Sét,prefix,8% chance: Kim sét đánh linh khí ngẫu nhiên trên board gây 30% intensity,12% chance: Kim sét đánh linh khí ngẫu nhiên gây 45% intensity,15% chance: Kim sét đánh 2 linh khí ngẫu nhiên gây 55% intensity,offensive|aoe,metal,,60
armor-break,Phá Niêm,prefix,Giảm 5% defense linh khí khác trong 80px,Giảm 8% defense linh khí khác trong 80px,Giảm 10% defense linh khí khác trong 100px,offensive,,,100
death-aura,Tử Vong Hào Quang,prefix,Aura: linh khí lân cận 50px mất 6% defense,Aura: linh khí lân cận 50px mất 8% defense,Aura: linh khí lân cận 50px mất 10% defense,offensive,,,60
ancient-dragon-rise,Cổ Long Khởi,prefix,Linh khí đầu tiên mỗi ván nhận +60% intensity hit đầu tiên,Linh khí đầu tiên mỗi ván nhận +80% intensity hit đầu tiên,Linh khí đầu tiên mỗi ván nhận +100% intensity 2 hit đầu tiên,offensive,,,60
storm-surge,Bão Phong,prefix,+20% intensity khi linh lực có velocity cao (>1.5x base),+28% intensity khi linh lực có velocity cao (>1.5x base),+38% intensity khi linh lực có velocity cao (>1.5x base),offensive|speed,,,100
reckless,Liều Lĩnh,prefix,+35% intensity nhưng linh khí mất 3% durability mỗi va chạm,+48% intensity nhưng linh khí mất 4% durability mỗi va chạm,+60% intensity nhưng linh khí mất 5% durability mỗi va chạm,offensive,,,40
endless-stack,Thiên Trường,prefix,+18% intensity cho mỗi va chạm sau va chạm đầu trong cùng ván (max 3 stack),+25% intensity mỗi va chạm tiếp theo (max 4 stack),+32% intensity mỗi va chạm tiếp theo (max 5 stack),offensive,,,100
earth-storm,Vũ Bão,prefix,+15% intensity cho tất cả linh lực Thổ khi va chạm,+22% intensity cho tất cả linh lực Thổ khi va chạm,+30% intensity cho tất cả linh lực Thổ khi va chạm,offensive|elemental,earth,,100
azure-dragon-wrath,Thanh Long Nổi Giận,prefix,+20% intensity cho linh lực Mộc; +5% crit,+28% intensity cho linh lực Mộc; +8% crit,+38% intensity cho linh lực Mộc; +12% crit,offensive|elemental|crit,wood,,60
frost-killing-intent,Hàm Băng Sát Khí,prefix,+18% intensity cho linh lực Thuỷ khi va chạm,+26% intensity cho linh lực Thuỷ khi va chạm,+35% intensity cho linh lực Thuỷ khi va chạm,offensive|elemental,water,,100
black-tortoise-fury,Hắc Quy Nổi Giận,prefix,+15% intensity Thuỷ; 10% chance chain jump tới linh khí gần nhất,+22% intensity Thuỷ; 12% chance chain jump,+30% intensity Thuỷ; 15% chance chain jump; chain +15% intensity,offensive|elemental|chain,water,,60
wuxing-shift,Ngũ Hành Biến,prefix,Mỗi 5 hit: linh lực đổi nguyên tố theo vòng Ngũ Hành; +10% intensity,Mỗi 4 hit: linh lực đổi nguyên tố theo vòng Ngũ Hành; +15% intensity,Mỗi 3 hit: linh lực đổi nguyên tố theo vòng Ngũ Hành; +22% intensity,offensive|elemental,,,60
iron-swift-wind,Thiết Phi Phong,prefix,+20% intensity Kim lực; linh lực rời Kim khí nhanh hơn 15%,+28% intensity Kim lực; linh lực rời Kim khí nhanh hơn 22%,+38% intensity Kim lực; linh lực rời Kim khí nhanh hơn 30%,offensive|elemental|speed,metal,,60
hundred-fire-immortal,Bách Hoả Tâm Tiên,prefix,+18% intensity Hoả; 8% chance ignite vệt cháy 2s,+26% intensity Hoả; 12% chance ignite vệt cháy 2s,+35% intensity Hoả; 15% chance ignite vệt cháy 3s gây thêm 20% intensity,offensive|elemental|aoe,fire,,60
peak-crit,Đỉnh Điểm Crit,prefix,Crit strikes gây thêm 30% intensity,Crit strikes gây thêm 45% intensity,Crit strikes gây thêm 60% intensity; 5% chance instant double crit,crit|offensive,,,100
