id,ten,category,effect,weight
fire-crystal,Hoả Tinh,drop-bias,+50% drop linh khí Hoả trong pháp trận này,100
wood-crystal,Mộc Tinh,drop-bias,+50% drop linh khí Mộc trong pháp trận này,100
water-crystal,Thuỷ Tinh,drop-bias,+50% drop linh khí Thuỷ trong pháp trận này,100
metal-crystal,Kim Tinh,drop-bias,+50% drop linh khí Kim trong pháp trận này,100
earth-crystal,Thổ Tinh,drop-bias,+50% drop linh khí Thổ trong pháp trận này,100
void-stone,Vô Cực Thạch,drop-bias,Nhân đôi biên độ ngẫu nhiên của mọi drop — loot hỗn loạn nhưng cơ hội hiếm tăng ×2,100
dragon-bone,Long Cốt,drop-bias,Boss sinh đôi — 2 boss spawn cùng lúc; drop ×2 so với boss thường,100
spirit-flower,Linh Hoa,drop-bias,Đảm bảo thêm 1 Cổ Vật drop sau khi hoàn thành pháp trận,100
star-stone,Tinh Tinh Thạch,drop-bias,+1 modifier slot trên Đan Pháp đang dùng trong pháp trận này,100
spirit-rain,Mưa Linh,drop-bias,Linh lực rơi nhanh ×1.5; +30% loot toàn bộ pháp trận,100
death-qi,Tử Khí,mechanic-shifter,Toàn bộ linh lực ngẫu nhiên trong pháp trận chuyển thành Thuỷ,60
pure-spirit-incense,Tịnh Linh Hương,mechanic-shifter,Năng lượng tiêu cực Tâm Ma giảm 50% trong suốt pháp trận,60
sky-lantern,Đèn Trời,mechanic-shifter,Ván thiên kiếp cuối pháp trận cho phần thưởng ×3,60
corruption-bead,Tâm Ma Châu,mechanic-shifter,Spawn thêm 1 phòng Tâm Ma boss; drop Cổ Vật +30% xác suất,60
wood-spirit-crystal,Mộc Linh Tinh,mechanic-shifter,Linh đan +20% stability tối đa trong pháp trận này,60
nine-turn-spirit-flower,Cửu Chuyển Linh Hoa,mechanic-shifter,Khi Đan Pháp bị tiêu thụ — 30% cơ hội reroll thay vì huỷ hoàn toàn,60
secret-realm-soul,Bí Cảnh Hỗn,mechanic-shifter,Ẩn số ván còn lại của pháp trận — bí ẩn hoá toàn bộ timeline,60
life-death-crystal,Sinh Tử Tinh,mechanic-shifter,Nếu linh đan bể — được phép thử lại 1 lần với 50% quality hoàn trả,60
soul-spirit-essence,Tâm Linh Hồn Phách,mechanic-shifter,Linh khí bị brick → hồn phách tái sinh thành 1 linh khí Bảo ngẫu nhiên,60
primordial-chaos-qi,Hỗn Nguyên Khí,mechanic-shifter,Pháp trận chuyển cấu trúc sang Hỗn Nguyên marathon — số ván vô hạn cho đến khi thoát,60
dragon-phoenix-bead,Long Phụng Châu,boss-modifier,Boss có 2 giai đoạn — phase 2 mạnh hơn và thay đổi element tấn công,40
corruption-ancient-soul,Tâm Ma Hồn Cổ,boss-modifier,Boss triệu hồi thêm các đợt Tâm Ma phụ trợ liên tục trong trận,40
nine-dragon-metal-bone,Cửu Long Kim Cốt,boss-modifier,Phần thưởng boss ×3 — linh khí và đan dược drop phẩm cao hơn,40
heaven-dragon-bone,Thiên Long Cốt,boss-modifier,Boss chuyển nguyên tố tấn công mỗi 10 giây — yêu cầu thích nghi liên tục,40
black-dragon-meteorite,Hắc Long Vẫn Thạch,boss-modifier,Damage boss ÷2 — đổi lại drop Cổ Vật phẩm cao hơn đảm bảo,40
peak-dragon-crystal,Đỉnh Long Tinh,boss-modifier,Boss có 9 giai đoạn liên tiếp — siêu boss marathon,40
wind-rain-soul,Phong Vũ Hồn,boss-modifier,Đợt trước boss là thiên kiếp đầy đủ — phải vượt qua để vào boss chính,40
ancient-dragon-elixir,Cổ Long Đan,boss-modifier,Boss đảm bảo drop 1 Cổ Vật + Đan Pháp phẩm Cổ,40
void-dragon-soul,Vô Cực Long Hồn,boss-modifier,Boss ngẫu nhiên sở hữu năng lực của 1 Đạo Phái — thay đổi mỗi pháp trận,40
primordial-corruption-soul,Hỗn Nguyên Tâm Ma Hồn,boss-modifier,Boss là bản phản chiếu Tâm Ma của chính Lò người chơi — tấn công theo build của player,40
