id,ten,slot,rarity,implicit,variant,isUnique
crown-common,Đỉnh Phàm,crown,Common,1 banh / 2s spawn ngẫu nhiên góc ±30°,Phàm,false
crown-magic-fire,Đỉnh Linh Hoả,crown,Magic,+1 banh per ván — banh sinh biased Hoả nguyên tố,Linh,false
crown-rare-heaven,Đỉnh Bảo Thiên,crown,Rare,2 banh / 2s — người chơi chọn vị trí spawn (click),Bảo,false
crown-legendary-void,Đỉnh Thần Vô Cực,crown,Legendary,3 banh / 2s — nguyên tố ngẫu nhiên — free reroll spawn pattern 1x/ván,Thần,false
crown-heaven-dragon,Thiên Long Quan,crown,Unique,Banh đầu tiên mỗi ván là long lực — ×5 intensity; các banh sau bình thường,Cổ vật,true
body-common,Thân Phàm,body,Common,Board 800×1200px — 8 anchor linh khí,Phàm,false
body-magic-wood,Thân Linh Mộc,body,Magic,Board 850×1250px — 9 anchor — Mộc-bias drop linh khí,Linh,false
body-rare-furnace,Thân Bảo Đan Lư,body,Rare,Board 900×1300px — 11 anchor — +5% tỉ lệ loot drop,Bảo,false
body-legendary-nine-turn,Thân Thần Cửu Chuyển,body,Legendary,Board 1000×1400px — 13 anchor — +10% loot drop — +1 modifier slot,Thần,false
body-cosmos-furnace,Càn Khôn Đỉnh Lư,body,Unique,Layout board tự dịch chuyển ngẫu nhiên mỗi 90s trong ván — anchor tái định vị theo,Cổ vật,true
base-common,Đế Phàm,base,Common,Linh lực rớt đáy → -10 gold penalty,Phàm,false
base-magic-rescue,Đế Linh Cứu,base,Magic,Linh lực rớt đáy → 50% ngẫu nhiên hồi về đỉnh board,Linh,false
base-rare-return,Đế Bảo Hồi Tâm,base,Rare,Linh lực rớt đáy → +20% gold thưởng thay vì penalty,Bảo,false
base-legendary-thousand-mile,Đế Thần Thiên Lý,base,Legendary,Linh lực rớt đáy → 30% nảy ngược lên + tích nạp intensity ×2,Thần,false
base-ancestral-indestructible,Tổ Đan Bất Hoại,base,Unique,Linh lực rớt đáy không bao giờ bị mất — 100% hồi về đỉnh với intensity gốc giữ nguyên,Cổ vật,true
handle-left-seal-swift,Quai Phong Ấn Tốc (Trái),handleL,Common,1x/ván: Phong Ấn miễn phí lên 1 linh khí ngẫu nhiên — không tốn đan dược,Phàm,false
handle-left-revive-charm,Quai Hồi Sinh Phù (Trái),handleL,Magic,1x/ván: hồi sinh 1 linh khí vừa vỡ với 50% độ bền — không mất affix,Linh,false
handle-left-pure-heart-charm,Quai Tịnh Tâm Phù (Trái),handleL,Rare,1x/ván: xoá toàn bộ Tâm Ma debuff đang hiệu lực trên linh đan,Bảo,false
handle-left-thunderbolt-charm,Quai Lôi Đình Phù (Trái),handleL,Legendary,1x/ván: sét chém trung tâm board — gây damage toàn bộ linh khí trong bán kính 300px,Thần,false
handle-left-wuxing-array,Ngũ Hành Trận (Trái),handleL,Unique,1x/ván: triệu hồi 1 linh khí Ngũ Hành nguyên tố ngẫu nhiên tại tâm board — tồn tại suốt ván,Cổ vật,true
handle-right-seal-swift,Quai Phong Ấn Tốc (Phải),handleR,Common,1x/ván: Phong Ấn miễn phí lên 1 linh khí ngẫu nhiên — không tốn đan dược,Phàm,false
handle-right-revive-charm,Quai Hồi Sinh Phù (Phải),handleR,Magic,1x/ván: hồi sinh 1 linh khí vừa vỡ với 50% độ bền — không mất affix,Linh,false
handle-right-pure-heart-charm,Quai Tịnh Tâm Phù (Phải),handleR,Rare,1x/ván: xoá toàn bộ Tâm Ma debuff đang hiệu lực trên linh đan,Bảo,false
handle-right-thunderbolt-charm,Quai Lôi Đình Phù (Phải),handleR,Legendary,1x/ván: sét chém trung tâm board — gây damage toàn bộ linh khí trong bán kính 300px,Thần,false
handle-right-wuxing-array,Ngũ Hành Trận (Phải),handleR,Unique,1x/ván: triệu hồi 1 linh khí Ngũ Hành nguyên tố ngẫu nhiên tại tâm board — tồn tại suốt ván,Cổ vật,true
lid-common,Nắp Phàm,lid,Common,1 modifier slot — không có hiệu ứng phụ,Phàm,false
lid-magic-frenzy,Nắp Linh Cuồng,lid,Magic,2 modifier slots — +1 đan dược drop cuối ván,Linh,false
lid-rare-heaven-secret,Nắp Bảo Thiên Cơ,lid,Rare,3 modifier slots — xem trước phần thưởng boss trước khi vào,Bảo,false
lid-legendary-great-elixir,Nắp Thần Đại Đan Bí,lid,Legendary,3 modifier slots — boss drop đảm bảo tối thiểu phẩm cấp Bảo,Thần,false
lid-heaven-secret-record,Thiên Cơ Bí Lục,lid,Unique,4 modifier slots — mỗi ván boss sống sót: 1 modifier slot tự nâng tier — tích lũy cả pháp trận,Cổ vật,true
amulet-common,Khắc Phù Phàm,amulet,Common,+5% intensity toàn cục — tất cả linh lực,Phàm,false
amulet-magic-essence,Khắc Phù Linh Tinh,amulet,Magic,+10% intensity toàn cục — +5% crit chance,Linh,false
