id,ten,category,t1,t2,t3,tags,element,compatibleItemTypes,weight
attraction,Hấp Lực,suffix,Hút linh lực trong bán kính 30px về phía linh khí,Hút linh lực trong bán kính 40px,Hút linh lực trong bán kính 50px; lực hút +15%,utility,,,100
slow-step,Chậm Bộ,suffix,Chậm linh lực 15% trong 1.5s sau va chạm,Chậm linh lực 20% trong 2s sau va chạm,Chậm linh lực 25% trong 2s; 10% chance chậm 50%,utility,,,100
spread,Lan Truyền,suffix,Lan damage 10% sang linh khí lân cận trong 60px,Lan damage 15% sang linh khí lân cận trong 80px,Lan damage 20% sang linh khí lân cận trong 100px,utility|chain,,,100
chain-link,Xích Liên,suffix,Linh lực nhảy tới linh khí gần nhất trong 80px sau va chạm,Linh lực nhảy tới linh khí gần nhất trong 120px; +8% intensity mỗi nhảy,Linh lực nhảy tới 2 linh khí gần nhất trong 150px; +12% intensity mỗi nhảy,chain,,,100
anchored,Cố Định,suffix,Linh khí không bị nhiễm khí 3s sau khi bị va chạm,Linh khí không bị nhiễm khí 4s sau va chạm,Linh khí không bị nhiễm khí 5s; 20% chance reset timer khi bị hit lại,defensive,,,100
charge-store,Tăng Trữ,suffix,Tích charge 15% mỗi va chạm; charge_factor cộng dồn,Tích charge 20% mỗi va chạm,Tích charge 25% mỗi va chạm; max charge cap tăng thêm 2 hops,utility|chain,,,100
recovery,Hồi Phục,suffix,Mỗi va chạm: heal stability linh đan +0.8%,Mỗi va chạm: heal stability +1.2%,Mỗi va chạm: heal stability +1.8%; tương sinh hit heal +3%,sustain,,,100
furnace-stack,Đan Lư Tinh,suffix,Mỗi 3 hit: +3% intensity stack tạm trong ván (max 5 stack),Mỗi 3 hit: +4% intensity stack (max 6),Mỗi 3 hit: +5% intensity stack (max 8); stack không mất cuối ván,utility|offensive,,,100
nullify,Vô Hiệu Hoá,suffix,8% chance: hit không tốn durability linh khí,12% chance: không tốn durability,15% chance: không tốn durability; 5% chance hồi 1% durability thay vì,defensive,,,100
seal-guard,Phong Ấn Bảo,suffix,-2% brick chance khi áp Phong Ấn lên linh khí này,-3% brick chance khi áp Phong Ấn,-4% brick chance; Phong Ấn thăng 20% cao hơn thường khi roll,seal-safety,,,60
lucky-fate,Kỳ Duyên,suffix,+1 đan dược thêm khi linh khí này trigger loot drop,+1-2 đan dược thêm khi trigger loot,+2 đan dược thêm; 10% chance loot Tinh Hoa thay vì thường,currency-control,,,60
essence-hoard,Tích Luỹ Tinh Hoa,suffix,10% chance drop 1 Tinh Hoa khi linh khí nhận hit,15% chance drop Tinh Hoa,20% chance drop Tinh Hoa; Tinh Hoa drop thuộc nguyên tố linh khí,currency-control,,,60
elixir-flow,Bảo Đan Lưu,suffix,Linh Đan drop rate +25% từ linh khí này,Linh Đan drop rate +40%,Linh Đan drop rate +55%; 5% chance drop Tử Hoàn Đan thay vì Linh Đan,currency-control,,,60
seal-safety,Phong Ấn An Toàn,suffix,Brick chance giảm thêm 3% khi Phong Ấn áp lên linh khí nguyên tố cùng loại,Brick chance giảm 5% khi áp cùng nguyên tố,Brick chance giảm 7%; Phong Ấn khắc implicit 40% cao hơn thường,seal-safety,,,40
seal-ascend,Phong Ấn Thăng,suffix,+15% chance Phong Ấn thăng affix khi áp lên linh khí này,+22% chance thăng affix,+30% chance thăng affix; 5% chance thêm 1 affix mới khi thăng,seal-safety,,,40
seal-anti-break,Phong Ấn Kháng Phá,suffix,-5% chance Phong Ấn giáng affix khi áp lên linh khí này,-8% chance giáng,-12% chance giáng; giáng xảy ra thì chỉ giáng 1 tier thay vì xoá hoàn toàn,seal-safety,,,40
seal-corruption-bane,Phong Ấn Tâm Ma Diệt,suffix,+20% chance Phong Ấn khắc implicit Tâm Ma khi áp vào linh khí Tâm Ma-biased,+30% chance khắc implicit Tâm Ma,+40% chance; khắc thành công tạo Tinh Hoa Linh,seal-safety|anti-corruption,,,40
seal-effort,Phong Ấn Nỗ Lực,suffix,Khi Phong Ấn fail (strip/giáng): 20% chance hoàn trả đan dược đã dùng,Khi fail: 30% hoàn trả,Khi fail: 40% hoàn trả; 10% chance Phong Ấn tự động retry 1 lần,seal-safety,,,40
seal-preserve,Phong Ấn Bảo Toàn,suffix,-3% overall Phong Ấn brick chance trên mọi linh khí trong cùng Lò,-5% brick chance global,-8% brick chance global; +5% chance roll tier cao hơn khi dùng Phong Ấn,seal-safety,,,40
grove-guard,Trụ Lâm Bảo Vệ,suffix,+8% durability max cho linh khí,+12% durability max,+18% durability max; durability hồi 1%/ván khi còn sống sót,defensive,,,100
fortress-bulwark,Kiên Cố Thành Lũy,suffix,+10% resistance tương khắc damage,+15% resistance tương khắc,+20% resistance tương khắc; 5% chance block hoàn toàn 1 tương khắc hit,defensive,,,100
stabilize,Ổn Định Hoá,suffix,Linh đan stability giảm 8% chậm hơn khi bị tương khắc trong ván này,Stability giảm 12% chậm hơn,Stability giảm 18% chậm hơn; heal +0.5%/s khi không bị hit 3s,defensive|sustain,,,100
immovable,Bất Động,suffix,Linh khí không bị đẩy hay lệch vị trí bởi AOE 3s sau hit,Không bị đẩy 4s,Không bị đẩy 5s; AOE recoil damage phản lại nguồn gây ra,defensive,,,100
infection-resist,Chống Nhiễm Khí,suffix,Giảm thời gian bị nhiễm khí (đổi nguyên tố tạm) 30%,Giảm 45% thời gian nhiễm khí,Giảm 60% thời gian; 15% chance không bị nhiễm hoàn toàn,defensive,,,100
lightning-resist,Kháng Thiên Kiếp,suffix,Giảm 20% damage nhận từ Thiên Kiếp linh lực,Giảm 30% damage Thiên Kiếp,Giảm 45% damage Thiên Kiếp; Thiên Kiếp hit heal +2% Lò Thọ,defensive,,,40
shock-absorb,Giảm Sốc,suffix,Linh khí có 8% chance không bị stagger khi bị hit mạnh,12% chance không stagger,18% chance không stagger; không stagger → phản đòn +5% intensity,defensive,,,100
sturdy-guard,Bền Vững Thủ,suffix,+5% max durability; -5% tương khắc damage nhận,+8% max durability; -8% tương khắc damage nhận,+12% max durability; -12% tương khắc damage nhận,defensive,,,100
stable-base,Ổn Định Nền,suffix,Giảm stability mất từ tương khắc 10%,Giảm 15%,Giảm 20%; linh đan stability tối thiểu không xuống dưới 5% trong ván này,defensive|sustain,,,100
vitality-restore,Sinh Lực Hoàn Nguyên,suffix,Mỗi 5 hit: heal stability linh đan +2%,Mỗi 4 hit: heal +3%,Mỗi 3 hit: heal +4%; 5% chance heal kép +8% thay vì +4%,sustain,,,100
nectar-recovery,Cam Lộ Hồi Phục,suffix,Linh lực tương sinh hit đan: thêm +1% heal stability ngoài công thức,Tương sinh hit: +1.5% heal,Tương sinh hit: +2% heal; mỗi tương sinh liên tiếp trong ván: thêm +0.5% (max +3%),sustain,,,100
longevity-inner-qi,Trường Sinh Nội Khí,suffix,Mỗi ván win: +0.5% max stability linh đan (stack pháp trận này; max 5%),Mỗi ván win: +0.8% max stability (max 8%),Mỗi ván win: +1.2% max stability (max 12%),sustain,,,60
revive-force,Hồi Sinh Ngoại Lực,suffix,Khi stability < 20%: heal +2% mỗi ván tự động,Khi stability < 25%: heal +3% mỗi ván,Khi stability < 30%: heal +5% mỗi ván; 5% chance crit heal +10%,sustain,,,60
orb-absorb,Hấp Thu Linh Lực,suffix,Mỗi 10 hit: heal Lò Thọ +1%,Mỗi 8 hit: heal Lò Thọ +1%,Mỗi 6 hit: heal Lò Thọ +2%; heal có thể vượt max Lò Thọ +5%,sustain,,,100
random-reagent-drop,Rơi Ngẫu Nhiên Đan,suffix,+20% drop rate tất cả đan dược từ linh khí này,+30% drop rate đan dược,+40% drop rate; 5% chance drop Hồn Đan (very rare normally),currency-control,,,60
reagent-thrift,Tiết Kiệm Đan Dược,suffix,Khi dùng Linh Đan reroll: 10% chance không tốn đan dược,15% chance không tốn,20% chance không tốn; 5% chance roll 2 option thay vì 1,currency-control,,,40
essence-ring,Tinh Hoa Vòng,suffix,Drop rate Tinh Hoa Ngũ Hành +30%,Drop rate Tinh Hoa +45%,Drop rate Tinh Hoa +60%; Tinh Hoa drop luôn thuộc nguyên tố linh khí,currency-control,,,60
elixir-method-rebirth,Đan Pháp Tái Sinh,suffix,5% chance Đan Pháp không bị consume khi vào pháp trận (linh khí này phải còn sống),8% chance không consume,12% chance không consume; khi trigger: Đan Pháp tier tăng 1 cho lần dùng tiếp theo,currency-control,,,40
reagent-select,Cự Tuyển Đan Dược,suffix,+15% chance đan dược drop là Tử Hoàn Đan hoặc cao hơn,+22% chance drop cao,+30% chance drop cao; 3% chance drop Cửu Chuyển Đan,currency-control,,,40
corruption-suppress,Khắc Tâm Ma Chí,suffix,Giảm 20% thời gian active của Tâm Ma modifier,Giảm 30% thời gian Tâm Ma,Giảm 45% thời gian; Tâm Ma modifier tắt sớm → linh khí nhận +10% intensity 3s,anti-corruption,,,40
pure-heart-resist,Tịnh Tâm Kháng,suffix,Giảm 15% damage từ Tâm Ma negative energy (bypass type),Giảm 25% Tâm Ma negative energy,Giảm 35%; Tâm Ma debuff trên đan tự dispel sau 5s (thay vì vĩnh viễn),anti-corruption,,,40
corruption-disperse,Tán Tâm Ma,suffix,5% chance khi bị Tâm Ma hit: dispel Tâm Ma modifier hoàn toàn,8% chance dispel Tâm Ma,10% chance dispel; dispel → +30% intensity next hit,anti-corruption,,,40
underworld-resist,Kháng U Minh,suffix,Giảm 20% Tâm Ma loot penalty (khi Tâm Ma modifier active),Giảm 30% penalty,Giảm 40% penalty; khi Tâm Ma active: linh khí nhận thêm +5% drop rate,anti-corruption,,,40
corruption-guard,Bảo Vệ Tâm Ma Thủ,suffix,Tâm Ma hit vào linh khí này: 15% chance phản lại gây 50% intensity cho linh đan,20% chance phản Tâm Ma,25% chance phản; phản trả gây +10% bonus intensity nếu Tâm Ma modifier đang active,anti-corruption,,,40
corruption-essence-bane,Diệt Tinh Tâm Ma,suffix,+40% intensity chống boss Tâm Ma từ linh khí này,+55% intensity chống boss Tâm Ma,+70% intensity; boss Tâm Ma mất 5% resist khi bị linh khí này hit,anti-corruption|offensive,,,40
elementless,Vô Nguyên Tố Hoá,suffix,Linh lực qua linh khí này mất nguyên tố 2s (trở thành Vô Cực tạm),Linh lực mất nguyên tố 3s,Linh lực mất nguyên tố 4s; Vô Cực lực có 10% chance gây tương sinh với đan bất kỳ,utility,,,60
speed-force,Tốc Độ Cuồng Lực,suffix,+15% velocity linh lực sau va chạm,+22% velocity sau va chạm,+30% velocity sau va chạm; velocity cao → +10% intensity,speed,,,100
accelerate-box,Tăng Tốc Hợp,suffix,Linh lực qua đây: +20% velocity trong 1s,+28% velocity trong 1.5s,+38% velocity trong 2s; velocity bonus stacks với charge_factor,speed,,,100
thunder-accelerate,Thiên Lôi Tăng Tốc,suffix,Linh lực Kim qua đây: +25% velocity; crit chance +5%,+35% velocity Kim; crit chance +8%,+45% velocity Kim; crit chance +12%; 5% chance sét đánh linh khí gần nhất,speed|crit,metal,,60
swift-junction,Phi Tốc Giao Điểm,suffix,+18% velocity; nếu linh lực đang có charge >= 2: +10% intensity bonus,+26% velocity; charge >= 2: +15% intensity,+35% velocity; charge >= 2: +22% intensity; chain jump miễn phí 1 lần sau va chạm,speed|chain,,,60
great-wave-spread,Lan Sóng Đại,suffix,AOE lan 30% intensity sang linh khí trong 50px sau va chạm,AOE lan 40% intensity trong 65px,AOE lan 50% intensity trong 80px; 10% chain thêm 1 linh khí nữa,utility|aoe,,,100
survival-growth,Sống Sót Tăng Trưởng,suffix,Mỗi ván sống sót: +1% durability max linh khí này tích lũy pháp trận này,Mỗi ván: +2% durability max,Mỗi ván: +3% durability max; sau 5 ván liên tiếp: +10% intensity permanent pháp trận,defensive|sustain,,,60
